"","nodeid","parent","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"183",1,0,2,2,0.297619047619048,0.107142857142857,0.290740740740741,0.153703703703704
"184",2,1,1,2,0.625,0,1.98648648648649,0.310810810810811
"185",3,2,0,NA,NA,NA,NA,NA
"186",4,2,0,NA,NA,NA,NA,NA
"187",5,1,0,NA,NA,NA,NA,NA
"188",1,0,2,2,0.317073170731707,0.121951219512195,1.42857142857143,0.285714285714286
"189",2,1,1,1,0.5,NA,0.4,NA
"190",3,2,0,NA,NA,NA,NA,NA
"191",4,1,0,NA,NA,NA,NA,NA
"192",1,0,2,4,0.5125,NA,0.281428571428571,NA
"193",2,1,0,NA,NA,NA,NA,NA
"194",3,1,1,2,0.607142857142857,-0.107142857142857,2.07446808510638,0.159574468085106
"195",4,3,0,NA,NA,NA,NA,NA
"196",5,3,0,NA,NA,NA,NA,NA
"197",6,1,0,NA,NA,NA,NA,NA
"198",7,1,1,2,1,0.166666666666667,0.603448275862069,0
"199",8,7,0,NA,NA,NA,NA,NA
"200",9,7,0,NA,NA,NA,NA,NA
"201",1,0,2,2,0.183098591549296,-0.0140845070422535,0.142857142857143,0.0586080586080586
"202",2,1,1,3,0.642857142857143,NA,2.7536231884058,NA
"203",3,2,0,NA,NA,NA,NA,NA
"204",4,2,0,NA,NA,NA,NA,NA
"205",5,2,0,NA,NA,NA,NA,NA
"206",6,1,0,NA,NA,NA,NA,NA
"207",1,0,2,1,0.461538461538462,NA,0.25,NA
"208",2,1,1,2,0.333333333333333,0,2.375,0.125
"209",3,2,0,NA,NA,NA,NA,NA
"210",4,2,0,NA,NA,NA,NA,NA
"211",1,0,1,2,0.1625,0.0375,0.210204081632653,0.0755102040816327
"212",2,1,0,NA,NA,NA,NA,NA
"213",3,1,0,NA,NA,NA,NA,NA
"214",1,0,1,2,0.425531914893617,0.0212765957446809,0.28,0.07
"215",2,1,0,NA,NA,NA,NA,NA
"216",3,1,0,NA,NA,NA,NA,NA
"217",1,0,1,3,0.517857142857143,NA,0.714714714714715,NA
"218",2,1,0,NA,NA,NA,NA,NA
"219",3,1,1,1,0.4,NA,0.343137254901961,NA
"220",4,3,0,NA,NA,NA,NA,NA
"221",5,1,0,NA,NA,NA,NA,NA
"222",1,0,2,4,0.406716417910448,NA,3.87931034482759,NA
"223",2,1,0,NA,NA,NA,NA,NA
"224",3,1,1,1,0.696969696969697,NA,1,NA
"225",4,3,0,NA,NA,NA,NA,NA
"226",5,1,0,NA,NA,NA,NA,NA
"227",6,1,1,2,0.548387096774194,-0.129032258064516,0.373333333333333,0.0266666666666667
"228",7,6,0,NA,NA,NA,NA,NA
"229",8,6,0,NA,NA,NA,NA,NA
"230",1,0,1,2,0.368421052631579,0,0.281954887218045,0.093984962406015
"231",2,1,0,NA,NA,NA,NA,NA
"232",3,1,0,NA,NA,NA,NA,NA
"233",1,0,2,2,0.697674418604651,0.0232558139534884,2.3,0.263636363636364
"234",2,1,1,1,0.586206896551724,NA,0.651785714285714,NA
"235",3,2,0,NA,NA,NA,NA,NA
"236",4,1,1,1,0.451612903225806,NA,0.354609929078014,NA
"237",5,4,0,NA,NA,NA,NA,NA
"238",1,0,1,2,0.487179487179487,0.102564102564103,6.5,0.5
"239",2,1,0,NA,NA,NA,NA,NA
"240",3,1,0,NA,NA,NA,NA,NA
"241",1,0,1,2,10,3.04761904761905,NA,NA
"242",2,1,0,NA,NA,NA,NA,NA
"243",3,1,0,NA,NA,NA,NA,NA
"244",1,0,1,2,13.52,4.6,NA,NA
"245",2,1,0,NA,NA,NA,NA,NA
"246",3,1,0,NA,NA,NA,NA,NA
"247",1,0,1,3,0.515151515151515,NA,1.62857142857143,NA
"248",2,1,0,NA,NA,NA,NA,NA
"249",3,1,0,NA,NA,NA,NA,NA
"250",4,1,0,NA,NA,NA,NA,NA
"251",1,0,1,2,0.652173913043478,-0.130434782608696,0.192307692307692,0.0128205128205128
"252",2,1,0,NA,NA,NA,NA,NA
"253",3,1,0,NA,NA,NA,NA,NA
"254",1,0,1,2,0.75,0.0714285714285714,1.19565217391304,0.869565217391304
"255",2,1,0,NA,NA,NA,NA,NA
"256",3,1,0,NA,NA,NA,NA,NA
"257",1,0,1,2,0.5625,0.0208333333333333,1,0.272727272727273
"258",2,1,0,NA,NA,NA,NA,NA
"259",3,1,0,NA,NA,NA,NA,NA
"260",1,0,1,2,0.620689655172414,0.0344827586206896,4.7093023255814,0.872093023255814
"261",2,1,0,NA,NA,NA,NA,NA
"262",3,1,0,NA,NA,NA,NA,NA
"263",1,0,1,2,0.741935483870968,-0.064516129032258,0.238439306358382,0.13728323699422
"264",2,1,0,NA,NA,NA,NA,NA
"265",3,1,0,NA,NA,NA,NA,NA
"266",1,0,1,2,0.86,0.06,1.16551724137931,0.337931034482759
"267",2,1,0,NA,NA,NA,NA,NA
"268",3,1,0,NA,NA,NA,NA,NA
"269",1,0,1,2,0.472222222222222,0.0555555555555555,0.308641975308642,0.185185185185185
"270",2,1,0,NA,NA,NA,NA,NA
"271",3,1,0,NA,NA,NA,NA,NA
"272",1,0,1,2,0.681818181818182,-0.136363636363636,0.992063492063492,0.357142857142857
"273",2,1,0,NA,NA,NA,NA,NA
"274",3,1,0,NA,NA,NA,NA,NA
"275",1,0,2,3,0.590909090909091,NA,0.276744186046512,NA
"276",2,1,0,NA,NA,NA,NA,NA
"277",3,1,1,2,0.555555555555555,0.111111111111111,5.78571428571429,2.92857142857143
"278",4,3,0,NA,NA,NA,NA,NA
"279",5,3,0,NA,NA,NA,NA,NA
"280",6,1,0,NA,NA,NA,NA,NA
"281",1,0,1,2,0.426470588235294,-0.102941176470588,1.04166666666667,0.208333333333333
"282",2,1,0,NA,NA,NA,NA,NA
"283",3,1,0,NA,NA,NA,NA,NA
"284",1,0,2,2,0.713333333333333,0.113333333333333,1.55555555555556,0.349206349206349
"285",2,1,1,2,0.717741935483871,0.153225806451613,1.38958333333333,0.610416666666667
"286",3,2,0,NA,NA,NA,NA,NA
"287",4,2,0,NA,NA,NA,NA,NA
"288",5,1,0,NA,NA,NA,NA,NA
"289",1,0,1,4,0.233516483516484,NA,0.093953488372093,NA
"290",2,1,0,NA,NA,NA,NA,NA
"291",3,1,0,NA,NA,NA,NA,NA
"292",4,1,0,NA,NA,NA,NA,NA
"293",5,1,0,NA,NA,NA,NA,NA
"294",1,0,2,2,0.677777777777778,0.0111111111111111,0.572033898305085,0.0211864406779661
"295",2,1,0,NA,NA,NA,NA,NA
"296",3,1,1,1,0.580645161290323,NA,0.371428571428571,NA
"297",4,3,0,NA,NA,NA,NA,NA
"298",1,0,1,4,0.449468085106383,NA,0.725409836065574,NA
"299",2,1,0,NA,NA,NA,NA,NA
"300",3,1,0,NA,NA,NA,NA,NA
"301",4,1,0,NA,NA,NA,NA,NA
"302",5,1,0,NA,NA,NA,NA,NA
"303",1,0,2,2,0.75,0.05,0.812121212121212,0.424242424242424
"304",2,1,0,NA,NA,NA,NA,NA
"305",3,1,1,1,0.708333333333333,NA,0.436274509803922,NA
"306",4,3,0,NA,NA,NA,NA,NA
"307",1,0,2,2,0.333333333333333,0.0277777777777778,0.168831168831169,0.103896103896104
"308",2,1,0,NA,NA,NA,NA,NA
"309",3,1,1,1,0.884615384615384,NA,0.523809523809524,NA
"310",4,3,0,NA,NA,NA,NA,NA
"311",1,0,1,2,0.730769230769231,-0.0384615384615384,0.646788990825688,0.477064220183486
"312",2,1,0,NA,NA,NA,NA,NA
"313",3,1,0,NA,NA,NA,NA,NA
"314",1,0,1,2,0.684210526315789,0.140350877192982,0.75,0.0277777777777778
"315",2,1,0,NA,NA,NA,NA,NA
"316",3,1,0,NA,NA,NA,NA,NA
"317",1,0,1,2,0.277272727272727,0.0136363636363636,0.12848751835536,0.0293685756240822
"318",2,1,0,NA,NA,NA,NA,NA
"319",3,1,0,NA,NA,NA,NA,NA
"320",1,0,1,5,0.367692307692308,NA,0.156380952380952,NA
"321",2,1,1,2,0.5,0.0277777777777778,0.207,0.007
"322",3,2,0,NA,NA,NA,NA,NA
"323",4,2,0,NA,NA,NA,NA,NA
"324",5,1,0,NA,NA,NA,NA,NA
"325",6,1,0,NA,NA,NA,NA,NA
"326",7,1,0,NA,NA,NA,NA,NA
"327",8,1,0,NA,NA,NA,NA,NA
"328",1,0,2,6,0.575757575757576,NA,0.128125,NA
"329",2,1,0,NA,NA,NA,NA,NA
"330",3,1,1,2,0.657894736842105,0.105263157894737,1.37209302325581,0.627906976744186
"331",4,3,0,NA,NA,NA,NA,NA
"332",5,3,0,NA,NA,NA,NA,NA
"333",6,1,1,2,0.0974358974358974,0,0.901960784313726,0.0392156862745098
"334",7,6,0,NA,NA,NA,NA,NA
"335",8,6,0,NA,NA,NA,NA,NA
"336",9,1,0,NA,NA,NA,NA,NA
"337",10,1,2,2,0.592307692307692,-0.115384615384615,2.29166666666667,0.0416666666666667
"338",11,10,1,2,0.576086956521739,0.16304347826087,0.835185185185185,0.609259259259259
"339",12,11,0,NA,NA,NA,NA,NA
"340",13,11,0,NA,NA,NA,NA,NA
"341",14,10,0,NA,NA,NA,NA,NA
"342",15,1,2,2,0.517241379310345,0.0862068965517241,4.8,0.8
"343",16,15,0,NA,NA,NA,NA,NA
"344",17,15,1,2,0.48,0,0.475,0.275
"345",18,17,0,NA,NA,NA,NA,NA
"346",19,17,0,NA,NA,NA,NA,NA
"347",1,0,2,2,0.66289592760181,-0.0972850678733032,1.82608695652174,0.347826086956522
"348",2,1,0,NA,NA,NA,NA,NA
"349",3,1,1,2,0.592261904761905,0.0208333333333334,0.970588235294118,0.264705882352941
"350",4,3,0,NA,NA,NA,NA,NA
"351",5,3,0,NA,NA,NA,NA,NA
"352",1,0,1,2,0.442857142857143,-0.0714285714285714,0.357142857142857,0.178571428571429
"353",2,1,0,NA,NA,NA,NA,NA
"354",3,1,0,NA,NA,NA,NA,NA
"355",1,0,2,1,0.733333333333333,NA,0.107142857142857,NA
"356",2,1,1,2,0.772727272727273,0.0909090909090909,0.708333333333333,0.0416666666666667
"357",3,2,0,NA,NA,NA,NA,NA
"358",4,2,0,NA,NA,NA,NA,NA
"359",1,0,1,2,0.722222222222222,-0.111111111111111,3.54347826086957,0.934782608695652
"360",2,1,0,NA,NA,NA,NA,NA
"361",3,1,0,NA,NA,NA,NA,NA
"362",1,0,1,2,0.543478260869565,-0.239130434782609,0.501818181818182,0.352727272727273
"363",2,1,0,NA,NA,NA,NA,NA
"364",3,1,0,NA,NA,NA,NA,NA
"365",1,0,1,2,0.7125,0.0375,2.7,0.05
"366",2,1,0,NA,NA,NA,NA,NA
"367",3,1,0,NA,NA,NA,NA,NA
"368",1,0,2,1,0.818181818181818,NA,0.528052805280528,NA
"369",2,1,1,2,0.688888888888889,-0.0222222222222222,0.14375,0.0625
"370",3,2,0,NA,NA,NA,NA,NA
"371",4,2,0,NA,NA,NA,NA,NA
"372",1,0,2,2,0.883561643835616,0.0205479452054794,0.35,0.183333333333333
"373",2,1,0,NA,NA,NA,NA,NA
"374",3,1,2,2,0.674603174603175,0.134920634920635,1.59090909090909,1.22727272727273
"375",4,3,0,NA,NA,NA,NA,NA
"376",5,3,1,2,0.632352941176471,0.0735294117647059,7.25,0.25
"377",6,5,0,NA,NA,NA,NA,NA
"378",7,5,0,NA,NA,NA,NA,NA
"379",1,0,1,2,0.709677419354839,-0.161290322580645,0.506172839506173,0.0123456790123457
"380",2,1,0,NA,NA,NA,NA,NA
"381",3,1,0,NA,NA,NA,NA,NA
"382",1,0,2,2,0.672413793103448,-0.120689655172414,0.7625,0.1375
"383",2,1,0,NA,NA,NA,NA,NA
"384",3,1,1,2,0.543478260869565,0.0217391304347826,2.1,0.1
"385",4,3,0,NA,NA,NA,NA,NA
"386",5,3,0,NA,NA,NA,NA,NA
"387",1,0,1,2,0.434782608695652,0,0.735294117647059,0.323529411764706
"388",2,1,0,NA,NA,NA,NA,NA
"389",3,1,0,NA,NA,NA,NA,NA
"390",1,0,1,1,0.5625,NA,0.25,NA
"391",2,1,0,NA,NA,NA,NA,NA
"392",1,0,1,2,0.717391304347826,-0.108695652173913,1.17083333333333,0.129166666666667
"393",2,1,0,NA,NA,NA,NA,NA
"394",3,1,0,NA,NA,NA,NA,NA
"395",1,0,1,2,0.62962962962963,0.037037037037037,0.818713450292398,0.204678362573099
"396",2,1,0,NA,NA,NA,NA,NA
"397",3,1,0,NA,NA,NA,NA,NA
"398",1,0,1,2,0.761904761904762,-0.0476190476190476,0.135211267605634,0.0366197183098592
"399",2,1,0,NA,NA,NA,NA,NA
"400",3,1,0,NA,NA,NA,NA,NA
"401",1,0,1,2,0.520833333333333,0.0208333333333334,0.291666666666667,0
"402",2,1,0,NA,NA,NA,NA,NA
"403",3,1,0,NA,NA,NA,NA,NA
"404",1,0,1,3,0.457142857142857,NA,0.357823129251701,NA
"405",2,1,0,NA,NA,NA,NA,NA
"406",3,1,0,NA,NA,NA,NA,NA
"407",4,1,0,NA,NA,NA,NA,NA
"408",1,0,1,2,0.777777777777778,-0.0370370370370371,0.350467289719626,0.116822429906542
"409",2,1,0,NA,NA,NA,NA,NA
"410",3,1,0,NA,NA,NA,NA,NA
"411",1,0,1,2,0.864864864864865,0.0810810810810811,0.163829787234043,0.0276595744680851
"412",2,1,0,NA,NA,NA,NA,NA
"413",3,1,0,NA,NA,NA,NA,NA
"414",1,0,1,3,0.925925925925926,NA,0.201342281879195,NA
"415",2,1,0,NA,NA,NA,NA,NA
"416",3,1,0,NA,NA,NA,NA,NA
"417",4,1,0,NA,NA,NA,NA,NA
"418",1,0,1,2,0.675675675675676,0.0540540540540541,0.197048611111111,0.184895833333333
"419",2,1,0,NA,NA,NA,NA,NA
"420",3,1,0,NA,NA,NA,NA,NA
"421",1,0,1,2,0.926829268292683,0.121951219512195,0.1,0.00789473684210526
"422",2,1,0,NA,NA,NA,NA,NA
"423",3,1,0,NA,NA,NA,NA,NA
"424",1,0,2,2,0.524590163934426,0.180327868852459,3.75757575757576,0.121212121212121
"425",2,1,1,2,0.732558139534884,0.0813953488372093,NA,NA
"426",3,2,0,NA,NA,NA,NA,NA
"427",4,2,0,NA,NA,NA,NA,NA
"428",5,1,0,NA,NA,NA,NA,NA
"429",1,0,1,2,0.379310344827586,0.0344827586206896,0.30787037037037,0.00694444444444444
"430",2,1,0,NA,NA,NA,NA,NA
"431",3,1,0,NA,NA,NA,NA,NA
"432",1,0,1,2,0.425675675675676,0.0337837837837838,0.516666666666667,0.15
"433",2,1,0,NA,NA,NA,NA,NA
"434",3,1,0,NA,NA,NA,NA,NA
"435",1,0,1,2,0.427083333333333,0.15625,0.120967741935484,0.0403225806451613
"436",2,1,0,NA,NA,NA,NA,NA
"437",3,1,0,NA,NA,NA,NA,NA
"438",1,0,1,2,0.60752688172043,0.0913978494623656,1.06603773584906,0.887840670859539
"439",2,1,0,NA,NA,NA,NA,NA
"440",3,1,0,NA,NA,NA,NA,NA
"441",1,0,2,3,0.418390804597701,NA,0.88641975308642,NA
"442",2,1,0,NA,NA,NA,NA,NA
"443",3,1,0,NA,NA,NA,NA,NA
"444",4,1,1,2,0.726190476190476,0.0119047619047619,0.267857142857143,0.172619047619048
"445",5,4,0,NA,NA,NA,NA,NA
"446",6,4,0,NA,NA,NA,NA,NA
"447",1,0,1,7,0.253898939488459,NA,8.95833333333333,NA
"448",2,1,0,NA,NA,NA,NA,NA
"449",3,1,0,NA,NA,NA,NA,NA
"450",4,1,0,NA,NA,NA,NA,NA
"451",5,1,0,NA,NA,NA,NA,NA
"452",6,1,0,NA,NA,NA,NA,NA
"453",7,1,0,NA,NA,NA,NA,NA
"454",8,1,0,NA,NA,NA,NA,NA
"455",1,0,1,12,0.194694694694695,NA,0.517176870748299,NA
"456",2,1,0,NA,NA,NA,NA,NA
"457",3,1,0,NA,NA,NA,NA,NA
"458",4,1,0,NA,NA,NA,NA,NA
"459",5,1,0,NA,NA,NA,NA,NA
"460",6,1,0,NA,NA,NA,NA,NA
"461",7,1,0,NA,NA,NA,NA,NA
"462",8,1,0,NA,NA,NA,NA,NA
"463",9,1,0,NA,NA,NA,NA,NA
"464",10,1,0,NA,NA,NA,NA,NA
"465",11,1,0,NA,NA,NA,NA,NA
"466",12,1,0,NA,NA,NA,NA,NA
"467",13,1,1,1,0.257142857142857,NA,0.538461538461538,NA
"468",14,13,0,NA,NA,NA,NA,NA
"469",1,0,1,3,0.636363636363636,NA,0.6625,NA
"470",2,1,0,NA,NA,NA,NA,NA
"471",3,1,0,NA,NA,NA,NA,NA
"472",4,1,0,NA,NA,NA,NA,NA
"473",1,0,1,2,0.743243243243243,0.0405405405405405,0.339285714285714,0.151785714285714
"474",2,1,0,NA,NA,NA,NA,NA
"475",3,1,0,NA,NA,NA,NA,NA
"476",1,0,1,2,0.557142857142857,0.128571428571429,0.858620689655172,0.217241379310345
"477",2,1,0,NA,NA,NA,NA,NA
"478",3,1,0,NA,NA,NA,NA,NA
"479",1,0,1,2,0.890625,0.109375,0.84375,0.441964285714286
"480",2,1,0,NA,NA,NA,NA,NA
"481",3,1,0,NA,NA,NA,NA,NA
"482",1,0,2,2,0.8,0.1,0.924242424242424,0.0151515151515152
"483",2,1,1,1,0.714285714285714,NA,2.33333333333333,NA
"484",3,2,0,NA,NA,NA,NA,NA
