,beta.ave,beta.diff,gamma.ave,gamma.diff,group
404,0.336201846,0.064710351,0.643624448,0.232500082,hht
407,0.540039531,0.059496723,0.711058401,0.043808492,hht
408,0.568991993,-0.053231467,0.375759276,0.177074888,hht
410,0.711220255,0.288685833,0.694250799,0.36477219,hht
413,0.728768359,-0.002608342,0.397408839,0.089412586,hht
414,0.759248822,0.244923487,2.1440576,1.177009273,hht
415,0.491335204,0.01750027,0.345540407,0.190889288,hht
417,1.103854067,0.365802456,1.75612092,1.021798615,hht
423,0.511236108,0.012311412,2.053269057,1.213842143,hht
426,0.700295014,0.32287145,1.030826904,0.640822752,hht
427,0.609773766,0.041605678,1.910105928,0.484155761,hht
430,2.306631699,-0.02570367,4.558583574,2.16878489,hht
431,0.613444197,0.063837354,1.346225504,0.582260424,hht
432,0.868495544,0.002625258,6.045185627,5.155977969,hht
435,0.902666717,0.193508265,1.503692546,0.812059909,hht
436,0.796685594,-0.058756588,0.443408933,0.101776619,hht
438,0.73417827,0.026688181,1.272083627,0.023436473,hht
443,0.674761847,-0.052462689,1.043161225,0.53089235,hht
446,0.450374626,0.283290972,0.289971874,0.193809327,hht
449,0.358764344,0,0.09474752,0,hht
451,1.314268035,-0.167545462,2.73575479,0.686364917,hht
454,0.53917625,-0.080101458,1.040921303,0.794495481,hht
455,0.7668918,0.113911626,4.32305983,1.432328333,hht
457,0.701129911,-0.134884067,0.53926857,0.159217304,hht
458,0.710776334,-0.210104376,1.266046576,0.063709794,hht
460,0.611194106,0.014211693,2.093153069,0.906026759,hht
464,0.652297076,0.103418943,0.673796713,0.032567024,hht
465,0.732580894,0.05747966,0.582746256,0.026487814,hht
469,0.595752739,0.205471484,0.238023148,0.188287133,hht
472,0.801935502,0.090915411,0.26202441,0.066280187,hht
473,0.517837727,-0.084022365,0.301924011,0.047655457,hht
475,0.937682387,-0.10055942,0.744095946,0.479041583,hht
477,1.029196825,0.004108597,2.656139607,2.338922694,hht
480,0.663175186,0.135043759,3.111141651,1.487980357,hht
482,0.511385395,-0.009815619,0.120112753,0.001364426,hht
483,0.975288317,0.161021047,0.261737112,0.023595977,hht
490,0.610770152,0.074689846,2.262101161,2.009252207,hht
493,0.670064134,0.145723713,1.916998707,1.348678208,hht
494,1.005792523,0.201331482,0.434412857,0.067423507,hht
495,0.595391658,0.324053699,1.455003922,1.097570424,hht
496,0.458935564,0.036688635,0.434672815,0.161074421,hht
500,0.706260004,-0.299972829,1.249485289,0.196903528,hht
502,0.295261638,0.073270474,0.532041717,0.400274233,hht
504,2.280267331,-0.022653225,9.137989175,0.181545043,hht
509,1.25596593,0.114562914,0.896417281,0.418157885,hht
510,0.695317922,0.047738302,1.115755945,0.762483108,hht
511,0.561238482,0.040394381,0.646937545,0.339749754,hht
512,0.91114387,-0.04668968,0.72921882,0.417795124,hht
516,0.952825711,0.012715474,5.044909158,3.536285887,hht
518,0.602051882,0.058025651,2.807092289,0.061835447,hht
521,1.268348542,-0.020418236,0.989928301,0.290319861,hht
523,0.774314517,0.190416333,0.392617545,0.235347081,hht
526,1.84844128,-0.151222418,5.973070785,0.080461644,hht
528,0.562446195,0.08171966,0.505808725,0.127038235,hht
529,1.339035392,0.038785982,1.387030845,0.640201736,hht
531,0.696394245,0.12426298,0.363177388,0.170737472,hht
532,0.379988318,0.070699185,0.291919752,0.139310782,hht
534,0.587488879,0.205008176,0.913524781,0.703196454,hht
536,1.164469094,0.255776735,2.588575989,1.377515728,hht
537,0.710228346,0.006124887,0.369656534,0.117519147,hht
539,0.867471395,0.087632214,3.288664749,1.644332269,hht
542,1.472795526,0.188582319,4.776545266,1.744777649,hht
543,0.648046421,0.022728276,0.384373287,0.171257221,hht
548,0.783523436,0.065255063,0.959253908,0.313145515,hht
551,0.809792553,0.36615247,1.733322419,1.309916514,hht
552,2.193593035,0.291322733,5.166344287,0.744777986,hht
553,0.586172605,0.183744478,0.30412565,0.134953037,hht
558,1.321139145,0.203104233,2.398861277,0.398861951,hht
564,0.813427181,-0.106840466,1.214099006,0.690081023,hht
565,0.525430471,-0.08964388,4.393903403,1.433421021,hht
566,0.449482643,0.004197762,0.253571374,0.093462989,hht
570,0.536473958,-0.135054013,1.152156634,0.070989637,hht
572,0.607546679,0.135172443,0.417091627,0.169176233,hht
574,0.592850885,-0.160895177,0.349997614,0.002599529,hht
577,2.19459132,-0.267251041,9.467820784,1.300394744,hht
579,0.697646201,-0.043234482,0.320098813,0.080871103,hht
580,0.756421263,0.097174776,2.103808561,0.479618425,hht
583,0.577629862,-0.017593225,3.236637032,0.196974015,hht
586,0.692666472,0.059771206,1.782349487,1.259572534,hht
587,0.330673388,0.042381721,0.264755817,0.14533215,hht
590,1.230797658,-0.119687527,2.823928637,0.283832786,hht
591,0.431460806,0.024881991,0.454623543,0.132848521,hht
594,1.043253618,0.100795056,1.871022055,0.050835811,hht
595,0.553956565,0.121163573,0.373993075,0.18699652,hht
596,0.699657598,0.109490546,0.939184048,0.211573207,hht
599,1.264503794,0.124328541,1.873871716,0.873871716,hht
600,1.201338124,0.231312533,2.821591885,0.082951161,hht
602,0.545679919,-0.033317909,0.343611352,0.074183719,hht
606,0.884489821,0.217718793,1.468946349,0.984765548,hht
608,0.518500926,-0.127519492,0.185177076,0.012148781,hht
610,0.90971095,-0.27919096,1.858685921,0.784048126,hht
