"","nodeid","parent","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"603","D87","D86",0,NA,NA,NA,NA,NA
"604","D88","D86",0,NA,NA,NA,NA,NA
"605","D89","D66",0.3,2,0.652131782945736,-0.183139534883721,1.26162790697674,0.122093023255814
"606","D9","D8",0.2,2,0.705459770114943,0.219827586206897,1.15972222222222,0.3125
"607","D90","D89",0,NA,NA,NA,NA,NA
"608","D91","D89",0.3,2,0.733178654292344,-0.185614849187935,0.290102040816327,0.19969387755102
"609","D92","D91",0,NA,NA,NA,NA,NA
"610","D93","D91",0.2,2,0.792929292929293,-0.101010101010101,9.59367945823928,2.37020316027088
"611","D94","D93",0.1,2,0.642335766423358,0.182481751824817,0.0810377358490566,0.0080188679245283
"612","D95","D94",0,NA,NA,NA,NA,NA
"613","D96","D94",0,NA,NA,NA,NA,NA
"614","D97","D93",0.2,2,0.622881355932203,-0.176553672316384,0.18921875,0.09203125
"615","D98","D97",0,NA,NA,NA,NA,NA
"616","D99","D97",0.1,2,0.756183745583039,0.173144876325088,8.36012861736334,2.57234726688103
"617","T1","A57",0,NA,NA,NA,NA,NA
"618","T10","A66",0,NA,NA,NA,NA,NA
"619","T11","A66",0,NA,NA,NA,NA,NA
"620","T12","A66",0,NA,NA,NA,NA,NA
"621","T13","A65",0,NA,NA,NA,NA,NA
"622","T14","A65",0,NA,NA,NA,NA,NA
"623","T15","A64",0,NA,NA,NA,NA,NA
"624","T16","A67",0,NA,NA,NA,NA,NA
"625","T17","A67",0,NA,NA,NA,NA,NA
"626","T2","A61",0,NA,NA,NA,NA,NA
"627","T20","A70",0,NA,NA,NA,NA,NA
"628","T21","A70",0,NA,NA,NA,NA,NA
"629","T22","A16",0,NA,NA,NA,NA,NA
"630","T23","A74",0,NA,NA,NA,NA,NA
"631","T24","A74",0,NA,NA,NA,NA,NA
"632","T25","A75",0,NA,NA,NA,NA,NA
"633","T26","A76",0,NA,NA,NA,NA,NA
"634","T27","A77",0,NA,NA,NA,NA,NA
"635","T28","A77",0,NA,NA,NA,NA,NA
"636","T3","A58",0,NA,NA,NA,NA,NA
"637","T4","A59",0,NA,NA,NA,NA,NA
"638","T5","A61",0,NA,NA,NA,NA,NA
"639","T6","A59",0,NA,NA,NA,NA,NA
"640","T7","A58",0,NA,NA,NA,NA,NA
"641","T8","A60",0,NA,NA,NA,NA,NA
"642","T9","A60",0,NA,NA,NA,NA,NA
"643","U1","A63",0,NA,NA,NA,NA,NA
"644","U2","A67",0,NA,NA,NA,NA,NA
"645","U4","A72",0,NA,NA,NA,NA,NA
"646","U5","A71",0,NA,NA,NA,NA,NA
"647","U6","A71",0,NA,NA,NA,NA,NA
"648","U7","A69",0,NA,NA,NA,NA,NA
"649","U8","A72",0,NA,NA,NA,NA,NA
