"","nodeid","parent","indv","generation","n","beta.ave","beta.diff","gamma.ave","gamma.diff"
"107","(67, 300, 37)-(72, 298, 32)","(66, 301, 36)-(67, 300, 37)","hht01",0,NA,NA,NA,NA,NA
"108","(62, 299, 41)-(67, 300, 37)","(66, 301, 36)-(67, 300, 37)","hht01",0,NA,NA,NA,NA,NA
"109","(65, 307, 37)-(66, 301, 36)","(65, 296, 34)-(66, 301, 36)","hht01",0.2,2,0.695066586679388,-0.0105536116098941,1.36871957414592,0.319536565943442
"110","(65, 307, 37)-(68, 313, 37)","(65, 307, 37)-(66, 301, 36)","hht01",0.1,2,0.747602277981,-0.0539584175615003,0.741739876126931,0.0302330568866744
"111","(68, 313, 37)-(70, 317, 36)","(65, 307, 37)-(68, 313, 37)","hht01",0,NA,NA,NA,NA,NA
"112","(66, 317, 37)-(68, 313, 37)","(65, 307, 37)-(68, 313, 37)","hht01",0,NA,NA,NA,NA,NA
"113","(59, 317, 38)-(65, 307, 37)","(65, 307, 37)-(66, 301, 36)","hht01",0,NA,NA,NA,NA,NA
"114","(56, 309, 31)-(65, 296, 34)","(65, 296, 34)-(67, 290, 32)","hht01",0,NA,NA,NA,NA,NA
"115","(67, 286, 29)-(67, 288, 28)","(67, 286, 29)-(73, 276, 26)","hht01",0.1,2,0.99725755604025,0.0459147436719881,4.78176253480101,1.46704011636346
"116","(67, 288, 28)-(70, 297, 27)","(67, 286, 29)-(67, 288, 28)","hht01",0,NA,NA,NA,NA,NA
"117","(54, 299, 23)-(67, 288, 28)","(67, 286, 29)-(67, 288, 28)","hht01",0,NA,NA,NA,NA,NA
"118","(69, 286, 16)-(75, 275, 25)","(75, 275, 25)-(76, 274, 25)","hht01",0,NA,NA,NA,NA,NA
"119","(75, 272, 25)-(76, 274, 25)","(76, 274, 25)-(95, 270, 26)","hht01",0.2,2,0.539438239502294,-0.0489710302350422,6.52022351867144,0.184615293216019
"120","(67, 262, 26)-(75, 272, 25)","(75, 272, 25)-(76, 274, 25)","hht01",0.2,2,0.729492136876523,-0.136378777726366,0.954562475390015,0.424961298002218
"121","(66, 256, 28)-(67, 262, 26)","(67, 262, 26)-(75, 272, 25)","hht01",0.1,2,0.55667556564698,-0.00258543464571119,0.898105271327483,0.187615881766735
"122","(66, 249, 30)-(66, 256, 28)","(66, 256, 28)-(67, 262, 26)","hht01",0,NA,NA,NA,NA,NA
"123","(62, 255, 31)-(66, 256, 28)","(66, 256, 28)-(67, 262, 26)","hht01",0,NA,NA,NA,NA,NA
"124","(48, 263, 24)-(67, 262, 26)","(67, 262, 26)-(75, 272, 25)","hht01",0,NA,NA,NA,NA,NA
"125","(65, 263, 30)-(75, 272, 25)","(75, 272, 25)-(76, 274, 25)","hht01",0,NA,NA,NA,NA,NA
"126","(107, 255, 36)-(114, 261, 28)","(114, 261, 28)-(119, 261, 30)","hht01",0.6,2,1.47196572829491,-0.0791893897586169,3.37533299596108,2.29249174810732
"127","(106, 246, 28)-(107, 255, 36)","(107, 255, 36)-(114, 261, 28)","hht01",0.5,2,0.534379729600896,-0.0643738405650297,1.72662101961061,1.19421315361075
"128","(106, 246, 28)-(111, 212, 29)","(106, 246, 28)-(107, 255, 36)","hht01",0.1,2,0.523738036163945,-0.0983338976631464,2.83355935809082,0.702253560785735
"129","(111, 212, 29)-(184, 229, 30)","(106, 246, 28)-(111, 212, 29)","hht01",0,NA,NA,NA,NA,NA
"130","(97, 109, 39)-(111, 212, 29)","(106, 246, 28)-(111, 212, 29)","hht01",0,NA,NA,NA,NA,NA
