,beta,gamma,group
386,0.712614808,3.80675858,hht
387,0.488375011,0.698782318,hht
388,1.477796554,7.097457926,hht
389,0.465229781,2.6827182,hht
390,0.826876391,8.775464917,hht
391,0.523857202,7.62920606,hht
392,0.729891161,0.176061347,hht
393,0.669307896,0.480798672,hht
394,1.388990933,10.36648827,hht
395,1.536922816,1.347011823,hht
396,0.975898667,4.199999494,hht
397,0.905742145,9.786532619,hht
398,0.683452,0.582048245,hht
399,0.409549785,1.622969775,hht
400,0.606689644,0.332675365,hht
401,0.875261833,0.789927927,hht
402,0.389505197,0.467470194,hht
403,1.211226304,5.453047455,hht
404,0.424062028,1.808745392,hht
405,0.52691834,4.059884015,hht
406,0.594511362,1.571833175,hht
407,0.832364051,0.902748203,hht
408,0.737673799,1.200622252,hht
409,1.306537728,0.526031759,hht
410,0.789865621,0.437141195,hht
411,0.417694011,2.006093987,hht
412,0.864030707,2.895042522,hht
413,0.409595316,1.873330709,hht
414,1.101004516,0.766014361,hht
415,1.244135422,1.78905955,hht
416,0.9352764,0.169333182,hht
417,0.296268099,2.257556054,hht
418,1.057033671,8.963154998,hht
419,0.736299329,1.646921966,hht
420,0.775675255,0.088641814,hht
421,1.103155924,5.546648892,hht
422,0.582522015,0.142804589,hht
423,0.978572761,1.533777103,hht
424,0.88115253,0.822093916,hht
425,0.817500541,1.596067616,hht
426,0.947515602,1.35012128,hht
427,0.982125956,1.036729003,hht
428,1.046219256,0.251239535,hht
429,0.907956827,3.969890331,hht
430,0.477412366,0.691174241,hht
431,0.950093797,0.866985458,hht
432,1.420126944,6.773206604,hht
433,0.804673077,0.900299664,hht
434,0.592277522,0.101250671,hht
435,2.13819213,12.48578276,hht
436,0.417928502,0.442977144,hht
437,1.539737462,3.469644667,hht
438,0.597904187,1.123696547,hht
439,0.285328,0.261344081,hht
440,2.050921641,4.440637432,hht
441,0.694022955,1.032105128,hht
442,1.379253558,1.258248784,hht
443,0.732724512,1.719593897,hht
444,0.360118728,1.050037868,hht
445,0.552085118,1.205215377,hht
446,0.609948659,0.855241883,hht
447,0.511758262,1.060638237,hht
448,0.513008599,0.831185764,hht
449,0.526551997,2.657609231,hht
450,0.88057926,1.934439285,hht
451,0.815439921,1.169689899,hht
452,0.773233687,0.465652458,hht
453,0.677427121,0.533654513,hht
454,0.734467744,0.926881057,hht
455,0.723782462,0.94295082,hht
456,0.637084283,0.687574,hht
457,0.825165864,0.734322305,hht
458,0.673638884,1.074958648,hht
459,1.1232818,2.067655473,hht
460,0.437018623,1.152080329,hht
461,0.417949372,2.282076151,hht
462,0.59217999,3.810362399,hht
463,0.826207452,1.431654275,hht
464,0.574794831,0.351945066,hht
465,0.609461157,2.103058206,hht
466,0.396727406,0.313665098,hht
467,0.402697934,1.233304944,hht
468,0.679451456,6.63375606,hht
469,0.681831662,0.080262053,hht
470,0.861053248,3.371947629,hht
471,0.724774285,0.304588544,hht
472,0.832805539,9.371864892,hht
473,1.469231947,0.926508383,hht
474,1.07807455,4.302009647,hht
475,0.920328,1.03895714,hht
476,0.622934839,0.805313495,hht
477,0.983586477,5.306090048,hht
478,0.735573384,0.48005089,hht
479,0.757532363,0.284506086,hht
480,0.713128191,2.037443724,hht
481,1.030465998,0.539312441,hht
482,0.35575777,1.163115902,hht
483,0.771379951,1.342941929,hht
484,0.830213849,3.548344896,hht
485,0.440503457,9.723072333,hht
486,0.527398324,0.566290694,hht
487,0.560692284,4.565863934,hht
488,1.045331006,10.83824782,hht
489,0.642264991,0.248843393,hht
490,0.739349487,0.07443795,hht
491,0.83046052,1.625735467,hht
492,1.374377165,0.529403804,hht
493,1.009286162,0.159191683,hht
494,1.117377007,8.81033113,hht
495,0.78500531,0.663857598,hht
496,1.807582723,3.825722068,hht
497,0.759946042,1.523762244,hht
498,1.100482456,2.477168226,hht
499,0.824955192,3.54450185,hht
500,0.652408526,15.98706215,hht
501,0.922610463,0.160506398,hht
502,0.948669781,1.101804164,hht
503,1.018502798,4.43602105,hht
504,0.66918132,0.242640981,hht
505,0.773605859,0.594740656,hht
506,0.896136825,2.490464497,hht
507,1.090024506,0.859937474,hht
508,0.827145265,1.368331302,hht
509,1.11803435,2,hht
510,0.853076289,4.946814643,hht
511,0.967213693,0.534472586,hht
512,0.743615587,1.703293604,hht
513,0.673745794,0.707126535,hht
514,0.837593406,1.425387964,hht
515,1.142553611,3.064124613,hht
516,0.88282011,0.400964657,hht
517,0.882948893,5.321516296,hht
518,0.618721224,0.914275966,hht
519,0.914676278,3.785014791,hht
520,1.173536319,7.624224148,hht
521,1.009450647,2.589265926,hht
522,0.551649816,0.278183453,hht
523,0.574222725,0.366927648,hht
524,1.014429117,8.284630794,hht
525,0.754661891,0.179171686,hht
526,0.931762646,3.801044202,hht
527,1.027143348,0.660620387,hht
528,1.02580591,2.375799728,hht
529,0.690978961,0.199471614,hht
530,0.798083995,1.292952138,hht
531,0.48040076,0.520887826,hht
532,0.470195245,4.794021751,hht
533,0.518491753,0.647469168,hht
534,0.514363571,3.580785584,hht
535,0.854580869,7.90388797,hht
536,0.734311376,2.812194427,hht
537,0.657234973,0.834492097,hht
538,0.788356119,0.912011032,hht
539,0.612479406,0.801888545,hht
540,1.276473771,0.845948884,hht
541,1.172213663,1.826818387,hht
542,0.856330636,0.269010057,hht
543,0.945066822,3.347807774,hht
544,0.881120753,9.115336899,hht
545,0.798256591,1.6802988,hht
546,1.152865898,4.138148627,hht
547,1.183868695,0.681064614,hht
548,0.827528307,2.85101535,hht
549,0.996920539,0.711692583,hht
550,0.923189653,0.132829083,hht
551,0.659948627,0.1647272,hht
552,0.803979342,2.594315063,hht
553,0.677202616,1.579010636,hht
554,1.087896722,1.24015215,hht
555,0.877188914,1.228203633,hht
556,0.66275779,1.707466942,hht
557,0.603931359,1.694636143,hht
558,1.121523729,4.023573362,hht
559,0.469574103,1.083021009,hht
560,0.618131848,2.890215238,hht
561,0.908642492,0.2750215,hht
562,0.426896989,0.552976664,hht
563,0.802759361,4.746614597,hht
564,0.744881686,1.005125398,hht
565,0.907932444,4.580624033,hht
566,0.37043688,0.015439364,hht
567,0.945102718,1.679323317,hht
568,1.658671384,3.634790054,hht
569,0.787857466,3.624829122,hht
570,1.028605212,0.840135955,hht
571,0.91772497,1.052416048,hht
572,0.533434597,0.435181033,hht
573,0.6897794,1.930559279,hht
574,0.335654736,0.105845926,hht
575,0.401144438,1.522359193,hht
576,0.475784072,4.01264691,hht
577,0.943111131,8.290140066,hht
578,0.785839149,0.146324053,hht
579,0.619224253,0.472602921,hht
580,0.716784291,0.142665269,hht
581,0.944292548,3.548147945,hht
582,0.703933831,0.090092547,hht
583,0.622319177,1.549259857,hht
584,0.685472043,0.665074413,hht
585,1.039543214,6.477590313,hht
586,0.863029001,0.671302479,hht
587,0.721038846,5.983467682,hht
588,0.665399775,1.655125617,hht
589,0.304545455,0.297139399,hht
590,0.564307901,0.459955879,hht
591,0.535988406,0.166445353,hht
592,0.819306525,1.669047328,hht
593,1.661523261,3.602199181,hht
594,2.392436208,5.002043838,hht
595,1.304390745,4.254274819,hht
596,0.63665344,0.612779925,hht
597,0.871631336,1.052990105,hht
598,0.664754366,0.429182409,hht
599,0.523917228,2.318358868,hht
600,0.840896875,1.414213659,hht
601,0.575075963,0.791767767,hht
602,0.383299155,0.689001462,hht
603,0.529793204,0.816895667,hht
604,1.700694447,4.388211424,hht
605,0.578201317,1.377753775,hht
606,0.568090185,3.305170498,hht
607,0.679597613,1.534818472,hht
608,1.296833073,6.54070346,hht
609,0.568194448,0.489073698,hht
610,0.608027904,1.872632549,hht
611,0.968091313,1.961917598,hht
612,0.45221361,1.544224122,hht
613,0.422314488,0.954378948,hht
614,0.619525047,3.101716954,hht
615,0.484291803,1.487334099,hht
616,0.44672525,4.085836882,hht
617,0.635101042,0.520748571,hht
618,0.528725557,2.566227062,hht
619,0.684257154,2.549184866,hht
620,1.473497828,2.905165973,hht
621,0.475363763,1.780936528,hht
622,0.42112771,1.111841077,hht
623,0.640254093,1.431521768,hht
